"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E2E","","","13","0","132","0","0"
"E2E","The ""Account"" dropdown list links","","1","0","5","0","0"
"E2E","Verification of the ""Email address"" field text input","","0","0","1","0","0"
"","","","0","0","1","0","0"
"E2E","Collapsing the ""Sale"" dropdown list","","0","0","1","0","0"
"E2E","The ""Privacy Policy"" link","","0","0","1","0","0"
"E2E","The ""Site Map"" link","","0","0","1","0","0"
"E2E","Attempting to adding a product to the cart when a color is not selected","","0","0","1","0","0"
"E2E","The ""My Account"" link","","0","0","1","0","0"
"E2E","Expanding and collapsing the ""Account"" dropdown list","","0","0","2","0","0"
"E2E","The ""Order and Returns"" link","","0","0","1","0","0"
"E2E","The ""Customer Service"" link","","0","0","1","0","0"
"E2E","The ""About Us"" link","","0","0","1","0","0"
"E2E","The ""Advanced Search"" link","","0","0","1","0","0"
"E2E","The ""Search Terms"" link","","0","0","1","0","0"
"E2E","Attempting to adding a product to the cart when a size is not selected","","0","0","1","0","0"
"E2E","The ""Contact Us Us"" link","","0","0","1","0","0"
