"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 20:03:22 GMT 2024","Fri May 17 20:03:23 GMT 2024","1130","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","lowerUpper","lowerUpper","Searching with a correct phrase having upper and lower cases"
"passed","Fri May 17 20:00:38 GMT 2024","Fri May 17 20:00:39 GMT 2024","548","Main menu","The 'Accessories' dropdown list","tests.mainmenu.accessoriesdropdownlist.AccessoriesDropdownListTest","tests.mainmenu.accessoriesdropdownlist.AccessoriesDropdownListTest","eyewearLink","eyewearLink","The ""Eyewear"" link"
"passed","Fri May 17 20:03:54 GMT 2024","Fri May 17 20:03:55 GMT 2024","822","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:05:58 GMT 2024","Fri May 17 20:05:58 GMT 2024","108","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","emptyEmailField","emptyEmailField","Attempting to subscribe to the newsletter without providing input for the email field"
"passed","Fri May 17 20:04:03 GMT 2024","Fri May 17 20:04:04 GMT 2024","842","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:04:28 GMT 2024","Fri May 17 20:04:29 GMT 2024","815","Account dropdown list","Links","tests.accountdropdownlist.AccountDropdownListLinksTest","tests.accountdropdownlist.AccountDropdownListLinksTest","myAccountLink","myAccountLink","The ""My Account"" link"
"failed","Fri May 17 20:07:07 GMT 2024","Fri May 17 20:07:08 GMT 2024","1262","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"failed","Fri May 17 20:10:31 GMT 2024","Fri May 17 20:10:33 GMT 2024","2429","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 19:59:48 GMT 2024","Fri May 17 19:59:48 GMT 2024","112","Main menu","The 'Men' dropdown list","tests.mainmenu.mendropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.mendropdownlist.ExpandingAndCollapsingTest","expandingDropdownList","expandingDropdownList","Expanding the ""Men"" dropdown list"
"passed","Fri May 17 20:06:40 GMT 2024","Fri May 17 20:06:40 GMT 2024","83","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","emailField","emailField",""
"passed","Fri May 17 20:03:17 GMT 2024","Fri May 17 20:03:19 GMT 2024","1098","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","lowerUpper","lowerUpper","Searching with a correct phrase having upper and lower cases"
"passed","Fri May 17 20:02:20 GMT 2024","Fri May 17 20:02:21 GMT 2024","1118","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","correct","correct","Searching with a correct phrase"
"passed","Fri May 17 20:02:14 GMT 2024","Fri May 17 20:02:16 GMT 2024","1448","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","correct","correct","Searching with a correct phrase"
"passed","Fri May 17 20:04:12 GMT 2024","Fri May 17 20:04:13 GMT 2024","831","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:02:24 GMT 2024","Fri May 17 20:02:25 GMT 2024","1099","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","correct","correct","Searching with a correct phrase"
"passed","Fri May 17 20:07:27 GMT 2024","Fri May 17 20:07:28 GMT 2024","231","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankPasswordField","blankPasswordField","Attempting to log in without providing input for the ""Password"" field"
"passed","Fri May 17 20:01:27 GMT 2024","Fri May 17 20:01:27 GMT 2024","110","Main menu","The 'Sale' dropdown list","tests.mainmenu.saledropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.saledropdownlist.ExpandingAndCollapsingTest","expandingDropdownList","expandingDropdownList","Expanding the ""Sale"" dropdown list"
"passed","Fri May 17 20:07:48 GMT 2024","Fri May 17 20:07:49 GMT 2024","1016","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","accountInformationLink","accountInformationLink","The ""Account Information"" link"
